list_no,date,region,kind,title,start,end,max_mw,min_mw,solar_mw,wind_mw,reason,url
72543,2024-05-20,제주,전망,제주 출력제한 전망안내 [ 2024년 05월 20일(월) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72543&tag=&nPage=29
72544,2024-05-19,제주,실적,제주 출력제한 실적 공지 [ 2024년 05월 19일(일) ],10:45,15:09,723,500,61.3,61.9,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72544&tag=&nPage=29
72553,2024-05-21,제주,전망,제주 출력제한 전망안내 [ 2024년 05월 21일(화) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72553&tag=&nPage=29
72592,2024-05-24,제주,전망,제주 출력제한 전망안내 [ 2024년 05월 24일(금) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72592&tag=&nPage=29
72608,2024-05-25,제주,전망,제주 출력제한 전망안내 [ 2024년 05월 25일(토) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72608&tag=&nPage=29
72615,2024-05-24,제주,실적,제주 출력제한 실적 공지 [ 2024년 05월 24일(금) ],11:20,14:22,736,549,12.1,270.5,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72615&tag=&nPage=29
72616,2024-05-25,제주,실적,제주 출력제한 실적 공지 [ 2024년 05월 25일(토) ],11:20,15:03,712,539,46.2,204.5,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72616&tag=&nPage=29
72625,2024-05-28,제주,전망,제주 출력제한 전망안내 [ 2024년 05월 28일(화) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72625&tag=&nPage=29
72627,2024-05-27,제주,실적,제주 출력제한 실적 공지 [ 2024년 05월 27일(월) ],11:21,11:39,724,527,,81,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72627&tag=&nPage=29
72640,2024-05-29,제주,전망,제주 출력제한 전망안내 [ 2024년 05월 29일(수) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72640&tag=&nPage=29
72641,2024-05-28,제주,실적,제주 출력제한 실적 공지 [ 2024년 05월 28일(화) ],09:29,15:13,734,535,32.9,300.5,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72641&tag=&nPage=28
72676,2024-05-30,제주,실적,제주 출력제한 실적 공지 [ 2024년 05월 30일(목) ],11:33,15:03,738,554,25.8,117.7,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72676&tag=&nPage=28
72680,2024-06-01,제주,전망,제주 출력제한 전망안내 [ 2024년 06월 01일(토) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72680&tag=&nPage=28
72686,2024-06-02,제주,전망,제주 출력제한 전망안내 [ 2024년 06월 02일(일) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72686&tag=&nPage=28
72687,2024-06-01,제주,실적,제주 출력제한 실적 공지 [ 2024년 06월 01일(토) ],12:09,14:27,702,527,56.4,,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72687&tag=&nPage=28
72693,2024-06-02,제주,실적,제주 출력제한 실적 공지 [ 2024년 06월 02일(일) ],11:27,13:42,701,509,71.3,,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72693&tag=&nPage=28
73614,2024-10-12,육지,전망,육지 출력제어 전망 안내 [2024년 10월 12일(토)],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=73614&tag=&nPage=28
73615,2024-10-13,육지,전망,육지 출력제어 전망 안내 [2024년 10월 13일(일)],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=73615&tag=&nPage=28
73632,2024-10-12,육지,실적,육지 출력제어 실적 안내 [2024년 10월 12일(토)],11:00,14:00,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=73632&tag=&nPage=28
73633,2024-10-13,육지,취소/미시행,육지 출력제어 실적 안내 [2024년 10월 13일(일)-출력제어 없음],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=73633&tag=&nPage=28
73646,2024-10-20,육지,전망,육지 출력제어 전망 안내 [2024년 10월 20일(일)],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=73646&tag=&nPage=27
73654,2024-10-20,육지,취소/미시행,육지 출력제어 실적 안내 [2024년 10월 20일(일)-출력제어 없음],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=73654&tag=&nPage=27
73663,2024-10-23,제주,전망,제주 출력제어 전망 안내 [2024년 10월 23일(수)],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=73663&tag=&nPage=27
73672,2024-10-24,제주,전망,제주 출력제어 전망 안내 [2024년 10월 24일(목)],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=73672&tag=&nPage=27
73674,2024-10-23,제주,취소/미시행,제주 출력제어 실적 안내 [2024년 10월 23일(수)-출력제어 없음],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=73674&tag=&nPage=27
73679,2024-10-24,제주,취소/미시행,제주 출력제어 실적 안내 [2024년 10월 24일(목)-출력제어 없음],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=73679&tag=&nPage=27
